nome;preço;ano;quilometragem;cidade;estado;marca
Ford Fiesta 1.0 Flex 5p;24900.0;2009;159.000 Km;São Paulo Zona Norte ; São Paulo;Ford
Volkswagen Gol Gol (novo) 1.0 Mi Total Flex 8v 4p;21500.0;2010;108.672 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Peugeot 207 1.4 Active 8v Flex 4p Manual;23900.0;2014;123.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Ford Ka 1.0 Flex 3p;23990.0;2010;96.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;21900.0;2010;120.683 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chery Face 1.3 16v Flex 5p;23900.0;2012;123.000 Km;São Paulo Zona Sul ; São Paulo;Chery
Renault Clio 1.0 16v Campus Hi-flex 5p;20900.0;2011;170.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Ford Ka 1.0 3p;5900.0;1997;200.000 Km;Santo André ; São Paulo;Ford
Jac J3 1.4 16v 5p;24900.0;2012;101.000 Km;São Paulo Zona Sul ; São Paulo;Jac
Peugeot 207 207 Hatch Xs 1.6 16v (flex);19900.0;2009;153.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Ford Fiesta 1.0 Flex 5p;24990.0;2011;83.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Palio 1.0 Mpi Fire Economy 8v Flex 4p Manual;21900.0;2010;195.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Ford Ka 1.0 Mpi 8v Flex 2p Manual;21900.0;2011;125.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Volkswagen Gol 1.0 Total Flex 5p;20990.0;2012;140.000 Km;Campinas ; São Paulo;Volkswagen
Renault Clio 1.0 16v Campus Hi-flex 3p;18900.0;2010;86.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Citroën C3 1.4 8v Glx Flex 5p;24000.0;2012;158.500 Km;São Paulo Zona Leste ; São Paulo;Citroën
Citroën C4 1.6 Glx Flex 5p;24990.0;2010;192.882 Km;Guarulhos ; São Paulo;Citroën
Chevrolet Celta 1.0 Ls Flex Power 3p;22900.0;2012;153.117 Km;Suzano ; São Paulo;Chevrolet
Jac J3 Turin 1.4 16v 4p;22000.0;2012;146.000 Km;São Paulo Zona Sul ; São Paulo;Jac
Chevrolet Celta 1.0 Spirit Flex Power 3p;19000.0;2009;199.780 Km;São Roque ; São Paulo;Chevrolet
Chevrolet Celta Celta Ls 1.0 (flex) 2p;22990.0;2012;87.612 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Peugeot 207 207 Sedan Passion Xr 1.4 Flex 8v 4p;21800.0;2010;127.749 Km;São Bernardo do Campo ; São Paulo;Peugeot
Renault Clio 1.0 16v Campus Hi-flex 5p;22890.0;2010;102.000 Km;São Bernardo do Campo ; São Paulo;Renault
Chevrolet Celta 1.0 Mpfi Spirit 8v;21900.0;2009;168.155 Km;Carapicuíba ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Total Flex 3p;19890.0;2012;199.000 Km;Osasco ; São Paulo;Volkswagen
Ford Fiesta 1.0 Flex 5p;23900.0;2010;170.000 Km;Osasco ; São Paulo;Ford
Ford Fiesta 1.0 Flex 5p;24990.0;2012;165.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Volkswagen Gol 1.0 Trend Total Flex 5p;25000.0;2009;120.054 Km;Santo André ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Spirit Flex Power 3p;21000.0;2010;100.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Spirit Flex Power 3p;20999.0;2010;98.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Citroën C3 1.4 I Glx 8v Flex 4p Manual;24490.0;2011;140.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Peugeot 207 1.6 16v Xs Flex Aut. 5p;24900.0;2009;128.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Corsa 1.4 Maxx Econoflex 5p;24000.0;2012;152.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Total Flex 3p;24990.0;2011;130.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Ford Fiesta 1.6 Fly Flex 5p;24900.0;2009;185.000 Km;Guarulhos ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;22900.0;2009;85.600 Km;São Paulo Zona Norte ; São Paulo;Ford
Chevrolet Celta 1.0 Spirit Flex Power 5p 70 Hp;22900.0;2009;258.831 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Renault Clio 1.0 16v Campus Hi-flex 3p;19990.0;2011;139.000 Km;Campinas ; São Paulo;Renault
Renault Sandero 1.0 16v Authentique Hi-flex 5p;23900.0;2012;231.000 Km;Guarulhos ; São Paulo;Renault
Chery Qq 1.1 16v 5p;23900.0;2014;60.000 Km;São Paulo Zona Leste ; São Paulo;Chery
Fiat Palio Palio Elx 1.0 (flex) 4p;23900.0;2009;174.636 Km;São Paulo Zona Norte ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;19990.0;2010;153.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Chevrolet Celta Life 1.0 Vhce (flex) 4p;23900.0;2011;160.172 Km;São Paulo Centro ; São Paulo;Chevrolet
Volkswagen Fox 1.0 Vht Total Flex 5p;25000.0;2010;139.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Peugeot 207 207 1.4 Xr 8v Flex 4p Manual;17800.0;2011;1.111 Km;Carapicuíba ; São Paulo;Peugeot
Volkswagen Gol 1.0 Total Flex 5p;22000.0;2010;157.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Renault Clio 1.0 8v Authentique 3p;14990.0;2008;139.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Ford Ka 1.0 Flex 3p;23900.0;2009;115.682 Km;São Paulo Zona Leste ; São Paulo;Ford
Chery Qq 1.1 16v 5p;18900.0;2012;93.703 Km;São Paulo Zona Leste ; São Paulo;Chery
Chevrolet Classic 1.0 Flex Power 4p;22900.0;2010;172.000 Km;Itaquaquecetuba ; São Paulo;Chevrolet
Ford Fiesta 1.0 8v Flex/class 1.0 8v Flex 5p;22980.0;2008;189.172 Km;Osasco ; São Paulo;Ford
Citroën C3 1.4 8v Glx Flex 5p;20900.0;2006;192.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Chery Qq 1.1 16v;20900.0;2012;126.111 Km;São Paulo Centro ; São Paulo;Chery
Volkswagen Fox 1.0 Vht Total Flex 3p;21900.0;2009;86.900 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Volkswagen Gol 1.0 Total Flex 3p;22900.0;2013;125.101 Km;Mauá ; São Paulo;Volkswagen
Renault Clio 1.0 Authentique 16v Flex 2p Manual;19000.0;2013;83.802 Km;Guarujá ; São Paulo;Renault
Ford Fiesta 1.0 Flex 5p 71 Hp;19900.0;2009;143.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Citroën C3 C3 I Glx Aut. Flex 4p 1.6 16v;23900.0;2009;54.824 Km;São Paulo Zona Sul ; São Paulo;Citroën
Ford Fiesta 1.6 Pulse Flex 5p;22900.0;2009;151.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Palio 1.0 Fire Economy Flex 3p;24900.0;2010;108.000 Km;São Bernardo do Campo ; São Paulo;Fiat
Ford Ka 1.0 Pulse Flex 3p;22500.0;2009;147.671 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;21500.0;2012;111.236 Km;Suzano ; São Paulo;Ford
Chevrolet Corsa 1.6 Gl 3p;16300.0;1998;86.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Economy Flex 5p;22000.0;2010;177.000 Km;Sumaré ; São Paulo;Fiat
Chevrolet Celta 1.0 Ls Flex Power 3p;22990.0;2012;135.031 Km;Osasco ; São Paulo;Chevrolet
Volkswagen Gol 1.8 Power Total Flex 5p;23900.0;2009;199.000 Km;São Bernardo do Campo ; São Paulo;Volkswagen
Ford Fiesta 1.0 Street 5p;17800.0;2006;100.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Uno 1.0 Vivace Flex 5p;23990.0;2011;162.000 Km;Cotia ; São Paulo;Fiat
Chevrolet Celta 1.0 Spirit Flex Power 5p;24900.0;2011;210.876 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Ka 1.0 Mpi 8v Flex 2p Manual;24990.0;2013;122.380 Km;Osasco ; São Paulo;Ford
Peugeot 207 207 Sw Xr 1.4 Flex 8v 5p;18900.0;2009;158.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Celta 1.0 Life Flex Power 3p;21990.0;2010;164.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual;24990.0;2012;120.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Mpfi Spirit 8v Flex 4p Manual;21999.0;2007;152.000 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Fiat Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p;22900.0;2009;160.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Ford Fiesta 1.0 Flex 5p 71 Hp;22990.0;2009;250.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Celta 1.0 Life Flex Power 3p;19990.0;2009;105.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Peugeot 207 1.4 Xr Flex 5p;24800.0;2012;73.000 Km;São Paulo Zona Oeste ; São Paulo;Peugeot
Fiat Uno Mille Economy;23900.0;2011;166.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Fiat Siena 1.4 Mpi Elx 8v;20900.0;2006;162.335 Km;São Bernardo do Campo ; São Paulo;Fiat
Peugeot 207 1.4 Xr Sport 8v Flex 4p Manual;15900.0;2011;139.000 Km;Osasco ; São Paulo;Peugeot
Chevrolet Celta 1.0 3p;16500.0;2004;167.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Renault Clio 1.0 Campus 16v Flex 4p Manual;23890.0;2011;57.774 Km;São Paulo Zona Oeste ; São Paulo;Renault
Ford Fiesta 1.6 Mpi Hatch 8v;24900.0;2008;145.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Celta 1.0 Spirit Flex Power 5p;20900.0;2008;192.500 Km;Suzano ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;23500.0;2010;80.000 Km;Mogi das Cruzes ; São Paulo;Ford
Renault Express 1.6 Rl 4p;18900.0;1998;55.000 Km;São Paulo Zona Sul ; São Paulo;Renault
Renault Clio 1.0 16v Campus Hi-flex 5p;23799.0;2009;150.286 Km;São Paulo Zona Sul ; São Paulo;Renault
Volkswagen Fox 1.0 City Total Flex 5p;20900.0;2007;142.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Volkswagen Polo 1.0 Mi 16v Gasolina 4p Manual;23900.0;2003;209.983 Km;Santo André ; São Paulo;Volkswagen
Volkswagen Voyage 1.0 Mi 8v Flex 4p Manual;25000.0;2010;90.627 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Chevrolet Astra 2.0 Mpfi Comfort Sedan 8v Flex 4p Manual;19990.0;2005;288.639 Km;Osasco ; São Paulo;Chevrolet
Fiat Uno 1.0 Vivace Flex 3p;24900.0;2014;69.504 Km;Suzano ; São Paulo;Fiat
Fiat Uno 1.0 Vivace Flex 3p;19999.0;2013;149.000 Km;Santo André ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;24500.0;2010;182.791 Km;São Paulo Zona Oeste ; São Paulo;Citroën
Chevrolet Celta 1.0 Mpfi Life 8v Flex 2p Manual;23900.0;2010;135.000 Km;Santo André ; São Paulo;Chevrolet
Fiat Palio 1.0 Mpi Fire Economy 8v Flex 2p Manual;22990.0;2010;128.000 Km;São Paulo Zona Oeste ; São Paulo;Fiat
Renault Sandero Expression 1.0 16v Hi-flex Mec.;24900.0;2012;149.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Renault Megane Grand Tour 2.0 Dynamique Aut. 5p;17900.0;2007;205.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Ford Focus Sedan 2.0 Glx Aut. 4p;19999.0;2008;162.000 Km;Santo André ; São Paulo;Ford
Chevrolet Corsa 1.4 Premium Econoflex 5p;24999.0;2009;175.000 Km;Santo André ; São Paulo;Chevrolet
Volkswagen Gol 1.6 Mi Cl 5p;25000.0;1997;231.000 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Renault Logan 1.6 Expression Hi-torque 4p;21800.0;2011;212.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Fiat Palio Fire Flex;19900.0;2007;180.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Volkswagen Gol 1.0 Mi 8v Flex 2p Manual G.iv;19990.0;2009;150.000 Km;Guarulhos ; São Paulo;Volkswagen
Citroën C3 C3 Glx 1.4 8v;23900.0;2011;137.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Renault Sandero 1.0 16v Authentique Hi-flex 5p;17000.0;2010;127.042 Km;São Paulo Zona Leste ; São Paulo;Renault
Renault Clio 1.0 16v Campus Hi-flex 5p;21900.0;2011;110.229 Km;São Paulo Zona Leste ; São Paulo;Renault
Chevrolet Corsa 1.4 Maxx Econoflex 5p;24000.0;2010;180.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta Celta 1.0 Mpfi Spirit 8v Flex 4p Manual;24500.0;2010;152.363 Km;Osasco ; São Paulo;Chevrolet
Chevrolet Corsa 1.4 Premium Econoflex 5p;23900.0;2010;174.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Citroën C3 1.4 8v Exclusive Flex 5p;24999.0;2012;120.000 Km;Santo André ; São Paulo;Citroën
Peugeot 207 207 Hatch Xr 1.4 8v (flex) 2p;22990.0;2012;127.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Ford Ka 1.0 Mpi 8v Flex 2p Manual;24900.0;2013;127.704 Km;São Paulo ; São Paulo;Ford
Chevrolet Celta 1.0 Ls Flex Power 3p;21900.0;2012;190.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Economy Flex 3p;23900.0;2011;175.000 Km;Santo André ; São Paulo;Fiat
Chevrolet Classic 1.0 Ls Flex Power 4p;20900.0;2011;138.750 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Ka 1.0 Tecno Flex 3p;18000.0;2009;130.809 Km;São Paulo Zona Oeste ; São Paulo;Ford
Jac J2 1.4 16v 5p;25000.0;2014;105.000 Km;São Paulo Zona Sul ; São Paulo;Jac
Fiat Siena 1.0 Fire Flex 4p;22990.0;2007;100.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Fiat Palio Palio 1.0 Economy Fire Flex 8v 4p;24990.0;2010;116.000 Km;Santo André ; São Paulo;Fiat
Ford Fiesta 1.6 Mpi Class Hatch 8v Flex 4p Manual;24900.0;2011;135.682 Km;Ribeirão Pires ; São Paulo;Ford
Chevrolet Corsa Corsa Hat. Maxx 1.0/ 1.0 Flexpower 8v 5p;21990.0;2005;98.741 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;24990.0;2007;89.000 Km;Suzano ; São Paulo;Ford
Ford Fiesta Fiesta 1.0 8v Flex/class 1.0 8v Flex 5p;23990.0;2009;174.000 Km;São Paulo Zona Norte ; São Paulo;Ford
Chevrolet Celta 1.0 Spirit Flex Power 3p;24900.0;2010;84.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Volkswagen Santana 1.8 4p Álcool;21990.0;2003;149.430 Km;Guarulhos ; São Paulo;Volkswagen
Chevrolet Classic 1.0 Mpfi Ls 8v;20000.0;2011;176.000 Km;São Caetano do Sul ; São Paulo;Chevrolet
Fiat Mille 1.0 Fire Economy Flex 5p;14999.0;2009;90.489 Km;Taboão da Serra ; São Paulo;Fiat
Renault Scenic 1.6 16v Rxe 5p;18600.0;2001;221.389 Km;Barueri ; São Paulo;Renault
Citroën C3 1.4 8v Glx Flex 5p;24900.0;2012;165.977 Km;São Paulo Zona Leste ; São Paulo;Citroën
Volkswagen Gol 1.0 Trend Total Flex 5p;22500.0;2010;142.000 Km;Guarujá ; São Paulo;Volkswagen
Fiat Palio 1.0 Mpi Fire Economy 8v Flex 4p Manual;24900.0;2011;143.115 Km;Ribeirão Pires ; São Paulo;Fiat
Fiat Siena 1.0 Fire Flex 4p;22900.0;2008;159.902 Km;São Paulo Zona Leste ; São Paulo;Fiat
Renault Clio 1.0 16v Flex 2p Manual;18990.0;2011;160.000 Km;São Paulo Zona Sul ; São Paulo;Renault
Chevrolet Celta 1.0 Spirit Flex Power 5p;23900.0;2011;169.000 Km;Mauá ; São Paulo;Chevrolet
Citroën C3 1.4 8v Glx Flex 5p;24999.0;2012;125.000 Km;Santo André ; São Paulo;Citroën
Ford Ka 1.0 Flex 3p;23900.0;2009;120.000 Km;Santo André ; São Paulo;Ford
Fiat Palio Fire Economy Economy;23000.0;2013;205.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Renault Clio 1.0 16v Campus Get-up Hi-flex 3p;16500.0;2009;175.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Chevrolet Classic 1.0 Ls Flex Power 4p;24999.0;2011;117.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Jac J3 1.4 16v 5p;17000.0;2010;187.000 Km;São Paulo Zona Oeste ; São Paulo;Jac
Peugeot 307 1.6 Presence Pack Flex 5p;24990.0;2009;139.065 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Chevrolet Celta Celta Life 1.0 Vhce (flex) 2p;23900.0;2011;127.897 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;17200.0;2009;160.000 Km;Guarulhos ; São Paulo;Ford
Citroën Xsara Picasso 1.6 Glx Flex 5p;21990.0;2010;225.000 Km;Itaquaquecetuba ; São Paulo;Citroën
Chery Qq 1.1 16v 5p;18900.0;2012;96.000 Km;São Paulo Zona Oeste ; São Paulo;Chery
Renault Clio 1.0 16v Campus Hi-flex 5p;17800.0;2011;86.500 Km;São Paulo Zona Leste ; São Paulo;Renault
Chery Qq 1.1 16v 5p;19900.0;2013;133.000 Km;São Paulo Zona Sul ; São Paulo;Chery
Peugeot 207 1.4 Xr Flex 5p;19000.0;2010;68.000 Km;Santos ; São Paulo;Peugeot
Volkswagen Fox 1.0 Vht Total Flex 3p;23000.0;2009;111.000 Km;São Paulo Zona Oeste ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Life Flex Power 3p;21990.0;2011;180.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chery Face 1.3 16v 5p;21800.0;2012;80.000 Km;São Paulo Zona Sul ; São Paulo;Chery
Chevrolet Celta 1.0 3 Portas;20300.0;2012;115.600 Km;São Paulo Centro ; São Paulo;Chevrolet
Fiat Palio 1.3 Elx Flex 5p;23900.0;2005;198.934 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 207 1.4 Xr Flex 5p;24990.0;2011;146.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Citroën C3 1.4 8v Exclusive Flex 5p;23000.0;2011;160.000 Km;São Paulo Zona Oeste ; São Paulo;Citroën
Peugeot 207 207 Passion Xr 1.4 8v (flex);22990.0;2012;210.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chevrolet Classic 1.0 Ls Flex Power 4p;23900.0;2011;159.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Idea 1.4 Mpi Elx 8v;24500.0;2007;143.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Corsa Sedan 1.0 Super Milenium 4p;13900.0;1999;228.768 Km;Mauá ; São Paulo;Chevrolet
Citroën C3 1.4 8v Glx Flex 5p;24800.0;2011;125.000 Km;Osasco ; São Paulo;Citroën
Ford Ka 1.6 Flex 3p;23900.0;2009;109.658 Km;São Paulo Zona Leste ; São Paulo;Ford
Citroën C3 1.4 8v Exclusive Flex 5p;24590.0;2011;136.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Peugeot 207 1.6 16v Xs Flex 5p;23990.0;2009;110.000 Km;São Bernardo do Campo ; São Paulo;Peugeot
Chevrolet Celta 1.0 Spirit Flex Power 5p 77 Hp;14500.0;2009;175.400 Km;Guarulhos ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Lt Flex Power 5p;24900.0;2012;178.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chevrolet Celta Chevrolet Celta Spirit 1.0 Vhce (flex) 4p;24900.0;2011;121.020 Km;São Bernardo do Campo ; São Paulo;Chevrolet
Chevrolet Celta Celta Life 1.0 Vhce (flex) 4p;24900.0;2009;142.529 Km;Santo André ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;24990.0;2011;53.677 Km;Campinas ; São Paulo;Ford
Chevrolet Celta Celta Life 1.0 Vhc (flex) 4p;21000.0;2009;156.400 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Fiat Uno 1.0 Vivace Flex 3p;23900.0;2014;138.000 Km;Guarulhos ; São Paulo;Fiat
