titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com  Quarto à Venda, 34m²;34;1;1;--;R$ 120.000
Apartamento com 2 Quartos para Venda/Aluguel 41m²;41;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 120.261
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 121.000
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;--;R$ 121.651
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 122.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 122.500
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 123.000
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 123.500
Apartamento com  Quarto à Venda, 36m²;36;1;1;1;R$ 124.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 124.170
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 124.200
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 124.600
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 124.800
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 125.000
Apartamento com  Quarto à Venda, 26m²;26;1;1;--;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;--;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 125.000
Apartamento com  Quarto para Venda/Aluguel 25m²;25;1;1;--;R$ 125.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;--;R$ 125.000
Apartamento com  Quarto à Venda, 27m²;27;1;1;--;R$ 125.282
Apartamento com 2 Quartos à Venda, 29m²;29;2;1;--;R$ 125.450
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 127.000
Apartamento com 2 Quartos à Venda, 59m²;59;2;1;1;R$ 127.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 127.000
Apartamento com 2 Quartos à Venda, 59m²;59;2;1;1;R$ 127.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 127.200
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 127.200
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 127.600
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 127.808
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 127.809
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 128.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 128.000
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 128.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 128.000
Apartamento com 2 Quartos à Venda, 56m²;56;2;1;1;R$ 128.000
Apartamento com 3 Quartos à Venda, 50m²;50;3;1;1;R$ 128.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 128.000
Apartamento com  Quarto à Venda, 45m²;45;1;1;1;R$ 128.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;--;R$ 128.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 128.500
Apartamento com  Quarto à Venda, 34m²;34;1;1;--;R$ 129.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;--;R$ 129.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 129.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;--;R$ 129.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;--;R$ 129.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 129.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 129.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 129.000
Apartamento com  Quarto à Venda, 39m²;39;1;1;--;R$ 129.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;--;R$ 129.080
Apartamento com 2 Quartos à Venda, 41m²;41;2;1;1;R$ 129.110
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;1;R$ 129.290
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 129.360
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 129.470
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 129.600
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 129.610
Apartamento com 2 Quartos à Venda, 56m²;56;2;1;1;R$ 129.760
Apartamento com  Quarto à Venda, 17m²;17;1;1;--;R$ 129.900
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 129.900
Apartamento com 2 Quartos à Venda, 41m²;41;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 54m²;54;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 130.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 130.000
Apartamento com 3 Quartos à Venda, 52m²;52;3;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 27m²;27;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 34m²;34;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda/Aluguel 45m²;45;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 32m²;32;1;1;--;R$ 130.000
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;--;R$ 130.000
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 130.000
Apartamento com  Quarto à Venda, 32m²;32;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 37m²;37;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 130.000
Apartamento com 2 Quartos para Venda/Aluguel 47m²;47;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 19m²;19;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 130.000
Apartamento com 2 Quartos para Venda/Aluguel 52m²;52;2;1;1;R$ 130.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 130.000
