titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 90.000
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;1;R$ 90.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 90.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 90.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 91.000
Apartamento com  Quarto à Venda, 38m²;38;1;1;--;R$ 92.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 93.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 93.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;--;R$ 93.600
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;--;R$ 94.200
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 94.690
Apartamento com 2 Quartos à Venda, 32m²;32;2;1;--;R$ 95.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 95.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 95.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 95.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;--;R$ 95.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 95.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 95.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 95.876
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 96.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 96.000
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 96.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 96.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 96.985
Apartamento com 2 Quartos à Venda, 32m²;32;2;1;--;R$ 98.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 98.647
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 99.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 99.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 99.700
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 99.756
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 99.900
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 100.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 100.000
